"call","class","family","genus","gigaclass","infraclass","infrakingdom","infraorder","infraphylum","kingdom","megaclass","order","parvorder","parvphylum","phylum","section","species","subclass","subfamily","subkingdom","suborder","subphylum","subsection","subterclass","superclass","superfamily","superorder","tribe","db"
"Amphiascopsis cinctus","Hexanauplia","Miraciidae","Amphiascopsis",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Harpacticoida",NA,NA,"Arthropoda",NA,"Amphiascopsis cinctus","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Podoplea",NA,"worms"
"Amphicorina ascidicola","Polychaeta","Sabellidae","Amphicorina",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Sabellida",NA,NA,"Annelida",NA,"Amphicorina ascidicola","Sedentaria","Myxicolinae",NA,NA,NA,NA,NA,NA,NA,NA,"Myxicolini","worms"
"Amphitrite figulus","Polychaeta","Terebellidae","Amphitrite",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Amphitrite figulus","Sedentaria","Terebellinae",NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,"Terebellini","worms"
"Anarhichas","Actinopteri","Anarhichadidae","Anarhichas","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Anatidae","Aves","Anatidae",NA,NA,NA,NA,NA,"Gnathostomata","Animalia","Tetrapoda","Anseriformes",NA,NA,"Chordata",NA,NA,NA,NA,NA,NA,"Vertebrata",NA,NA,"Reptilia",NA,NA,NA,"worms"
"Anisarchus medius","Actinopteri","Stichaeidae","Anisarchus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Anisarchus medius","Teleostei","Lumpeninae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Annelida",NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Anobothrus gracilis","Polychaeta","Ampharetidae","Anobothrus",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Anobothrus gracilis","Sedentaria","Ampharetinae",NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms"
"Aphrodita hastata","Polychaeta","Aphroditidae","Aphrodita",NA,NA,NA,NA,NA,"Animalia",NA,"Phyllodocida",NA,NA,"Annelida",NA,"Aphrodita hastata","Errantia",NA,NA,"Aphroditiformia",NA,NA,NA,NA,NA,NA,NA,"worms"
"Arctica islandica","Bivalvia","Arcticidae","Arctica",NA,"Heteroconchia",NA,NA,NA,"Animalia",NA,"Venerida",NA,NA,"Mollusca",NA,"Arctica islandica","Autobranchia",NA,NA,NA,NA,NA,"Euheterodonta",NA,"Arcticoidea","Imparidentia",NA,"worms"
"Arctozenus risso","Actinopteri","Paralepididae","Arctozenus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Aulopiformes",NA,"Osteichthyes","Chordata",NA,"Arctozenus risso","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Argentina silus","Actinopteri","Argentinidae","Argentina","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Argentiniformes",NA,"Osteichthyes","Chordata",NA,"Argentina silus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Aricidea","Polychaeta","Paraonidae","Aricidea",NA,"Scolecida",NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,NA,"Sedentaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Artacama proboscidea","Polychaeta","Terebellidae","Artacama",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Artacama proboscidea","Sedentaria","Terebellinae",NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,"Terebellini","worms"
"Asterias rubens","Asteroidea","Asteriidae","Asterias",NA,NA,NA,NA,NA,"Animalia",NA,"Forcipulatida",NA,NA,"Echinodermata",NA,"Asterias rubens",NA,NA,NA,NA,"Asterozoa",NA,NA,NA,NA,"Forcipulatacea",NA,"worms"
"Aurelia","Scyphozoa","Ulmaridae","Aurelia",NA,NA,NA,NA,NA,"Animalia",NA,"Semaeostomeae",NA,NA,"Cnidaria",NA,NA,"Discomedusae","Aureliinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Aurelia aurita","Scyphozoa","Ulmaridae","Aurelia",NA,NA,NA,NA,NA,"Animalia",NA,"Semaeostomeae",NA,NA,"Cnidaria",NA,"Aurelia aurita","Discomedusae","Aureliinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Aves","Aves",NA,NA,NA,NA,NA,NA,"Gnathostomata","Animalia","Tetrapoda",NA,NA,NA,"Chordata",NA,NA,NA,NA,NA,NA,"Vertebrata",NA,NA,"Reptilia",NA,NA,NA,"worms"
"Balaenoptera acutorostrata","Mammalia","Balaenopteridae","Balaenoptera",NA,NA,NA,"Cetacea","Gnathostomata","Animalia","Tetrapoda","Cetartiodactyla",NA,NA,"Chordata",NA,"Balaenoptera acutorostrata","Theria",NA,NA,"Cetancodonta","Vertebrata",NA,NA,NA,"Mysticeti",NA,NA,"worms"
"Balaenoptera musculus","Mammalia","Balaenopteridae","Balaenoptera",NA,NA,NA,"Cetacea","Gnathostomata","Animalia","Tetrapoda","Cetartiodactyla",NA,NA,"Chordata",NA,"Balaenoptera musculus","Theria",NA,NA,"Cetancodonta","Vertebrata",NA,NA,NA,"Mysticeti",NA,NA,"worms"
"Balaenoptera physalus","Mammalia","Balaenopteridae","Balaenoptera",NA,NA,NA,"Cetacea","Gnathostomata","Animalia","Tetrapoda","Cetartiodactyla",NA,NA,"Chordata",NA,"Balaenoptera physalus","Theria",NA,NA,"Cetancodonta","Vertebrata",NA,NA,NA,"Mysticeti",NA,NA,"worms"
"Balanidae","Thecostraca","Balanidae",NA,NA,"Thoracica",NA,NA,NA,"Animalia",NA,"Balanomorpha",NA,NA,"Arthropoda",NA,NA,"Cirripedia",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea","Balanoidea","Thoracicalcarea",NA,"worms"
"Balanus","Thecostraca","Balanidae","Balanus",NA,"Thoracica",NA,NA,NA,"Animalia",NA,"Balanomorpha",NA,NA,"Arthropoda",NA,NA,"Cirripedia","Balaninae",NA,NA,"Crustacea",NA,NA,"Multicrustacea","Balanoidea","Thoracicalcarea",NA,"worms"
"Balanus crenatus","Thecostraca","Balanidae","Balanus",NA,"Thoracica",NA,NA,NA,"Animalia",NA,"Balanomorpha",NA,NA,"Arthropoda",NA,"Balanus crenatus","Cirripedia","Balaninae",NA,NA,"Crustacea",NA,NA,"Multicrustacea","Balanoidea","Thoracicalcarea",NA,"worms"
"Bathycalanus princeps","Hexanauplia","Megacalanidae","Bathycalanus",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Bathycalanus princeps","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms"
"Bathypolypus arcticus","Cephalopoda","Bathypolypodidae","Bathypolypus",NA,NA,NA,NA,NA,"Animalia",NA,"Octopoda",NA,NA,"Mollusca",NA,"Bathypolypus arcticus","Coleoidea",NA,NA,"Incirrata",NA,NA,NA,NA,"Octopodoidea","Octopodiformes",NA,"worms"
"Benthosema glaciale","Actinopteri","Myctophidae","Benthosema","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Myctophiformes",NA,"Osteichthyes","Chordata",NA,"Benthosema glaciale","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Bougainvillia muscus","Hydrozoa","Bougainvilliidae","Bougainvillia",NA,NA,NA,NA,NA,"Animalia",NA,"Anthoathecata",NA,NA,"Cnidaria",NA,"Bougainvillia muscus","Hydroidolina",NA,NA,"Filifera",NA,NA,NA,NA,NA,NA,NA,"worms"
"Brada villosa","Polychaeta","Flabelligeridae","Brada",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Brada villosa","Sedentaria",NA,NA,"Cirratuliformia",NA,NA,NA,NA,NA,NA,NA,"worms"
"Brisaster fragilis","Echinoidea","Schizasteridae","Brisaster",NA,"Irregularia",NA,NA,NA,"Animalia",NA,"Spatangoida",NA,NA,"Echinodermata",NA,"Brisaster fragilis","Euechinoidea",NA,NA,"Paleopneustina","Echinozoa",NA,NA,NA,NA,"Atelostomata",NA,"worms"
"Brosme brosme","Actinopteri","Lotidae","Brosme","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Brosme brosme","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Calanus","Hexanauplia","Calanidae","Calanus",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms"
"Calanus finmarchicus","Hexanauplia","Calanidae","Calanus",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Calanus finmarchicus","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms"
"Calanus hyperboreus","Hexanauplia","Calanidae","Calanus",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Calanus hyperboreus","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms"
"Cancer borealis","Malacostraca","Cancridae","Cancer",NA,NA,NA,"Brachyura",NA,"Animalia",NA,"Decapoda",NA,NA,"Arthropoda","Eubrachyura","Cancer borealis","Eumalacostraca",NA,NA,"Pleocyemata","Crustacea","Heterotremata",NA,"Multicrustacea","Cancroidea","Eucarida",NA,"worms"
"Caridion gordoni","Malacostraca","Hippolytidae","Caridion",NA,NA,NA,"Caridea",NA,"Animalia",NA,"Decapoda",NA,NA,"Arthropoda",NA,"Caridion gordoni","Eumalacostraca",NA,NA,"Pleocyemata","Crustacea",NA,NA,"Multicrustacea","Alpheoidea","Eucarida",NA,"worms"
"Catablema multicirratum","Hydrozoa","Pandeidae","Catablema",NA,NA,NA,NA,NA,"Animalia",NA,"Anthoathecata",NA,NA,"Cnidaria",NA,"Catablema multicirratum","Hydroidolina",NA,NA,"Filifera",NA,NA,NA,NA,NA,NA,NA,"worms"
"Catablema vesicarium","Hydrozoa","Pandeidae","Catablema",NA,NA,NA,NA,NA,"Animalia",NA,"Anthoathecata",NA,NA,"Cnidaria",NA,"Catablema vesicarium","Hydroidolina",NA,NA,"Filifera",NA,NA,NA,NA,NA,NA,NA,"worms"
"Centropages hamatus","Hexanauplia","Centropagidae","Centropages",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Centropages hamatus","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms"
"Centropages typicus","Hexanauplia","Centropagidae","Centropages",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Centropages typicus","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms"
"Centroscyllium fabricii","Elasmobranchii","Etmopteridae","Centroscyllium",NA,"Selachii",NA,NA,"Gnathostomata","Animalia",NA,"Squaliformes",NA,"Chondrichthyes","Chordata",NA,"Centroscyllium fabricii","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,"Squalomorphi",NA,"worms"
"Cephalothrix filiformis","Palaeonemertea","Cephalotrichidae","Cephalothrix",NA,NA,NA,NA,NA,"Animalia",NA,"Archinemertea",NA,NA,"Nemertea",NA,"Cephalothrix filiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Ceratocephale loveni","Polychaeta","Nereididae","Ceratocephale",NA,NA,NA,NA,NA,"Animalia",NA,"Phyllodocida",NA,NA,"Annelida",NA,"Ceratocephale loveni","Errantia","Gymnonereidinae",NA,"Nereidiformia",NA,NA,NA,NA,NA,NA,NA,"worms"
"Ceriantheopsis americana","Anthozoa","Cerianthidae","Ceriantheopsis",NA,NA,NA,NA,NA,"Animalia",NA,"Spirularia",NA,NA,"Cnidaria",NA,"Ceriantheopsis americana","Ceriantharia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Cetorhinus maximus","Elasmobranchii","Cetorhinidae","Cetorhinus",NA,"Selachii",NA,NA,"Gnathostomata","Animalia",NA,"Lamniformes",NA,"Chondrichthyes","Chordata",NA,"Cetorhinus maximus","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,"Galeomorphi",NA,"worms"
"Chaetognatha",NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Chaetognatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Chaetozone","Polychaeta","Cirratulidae","Chaetozone",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,NA,"Sedentaria",NA,NA,"Cirratuliformia",NA,NA,NA,NA,NA,NA,NA,"worms"
"Cheliplanilla caudata",NA,"Cheliplanidae","Cheliplanilla",NA,NA,NA,"Schizorhynchia",NA,"Animalia",NA,"Rhabdocoela",NA,NA,"Platyhelminthes",NA,"Cheliplanilla caudata",NA,NA,NA,"Kalyptorhynchia","Rhabditophora",NA,NA,NA,NA,NA,NA,"worms"
"Chlamys islandica","Bivalvia","Pectinidae","Chlamys",NA,"Pteriomorphia",NA,NA,NA,"Animalia",NA,"Pectinida",NA,NA,"Mollusca",NA,"Chlamys islandica","Autobranchia","Pedinae",NA,NA,NA,NA,NA,NA,"Pectinoidea",NA,"Chlamydini","worms"
"Chone infundibuliformis","Polychaeta","Sabellidae","Chone",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Sabellida",NA,NA,"Annelida",NA,"Chone infundibuliformis","Sedentaria","Myxicolinae",NA,NA,NA,NA,NA,NA,NA,NA,"Myxicolini","worms"
"Citharichthys arctifrons","Actinopteri","Paralichthyidae","Citharichthys","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Pleuronectiformes",NA,"Osteichthyes","Chordata",NA,"Citharichthys arctifrons","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Clausocalanus furcatus","Hexanauplia","Clausocalanidae","Clausocalanus",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Clausocalanus furcatus","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms"
"Clausocalanus pergens","Hexanauplia","Clausocalanidae","Clausocalanus",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Clausocalanus pergens","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms"
"Cliona","Demospongiae","Clionaidae","Cliona",NA,NA,NA,NA,NA,"Animalia",NA,"Clionaida",NA,NA,"Porifera",NA,NA,"Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Clupea harengus","Actinopteri","Clupeidae","Clupea","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Clupeiformes",NA,"Osteichthyes","Chordata",NA,"Clupea harengus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Clytia","Hydrozoa","Campanulariidae","Clytia",NA,NA,NA,NA,NA,"Animalia",NA,"Leptothecata",NA,NA,"Cnidaria",NA,NA,"Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Creseis virgula","Gastropoda","Creseidae","Creseis",NA,"Euthyneura",NA,NA,NA,"Animalia",NA,"Pteropoda",NA,NA,"Mollusca",NA,"Creseis virgula","Heterobranchia",NA,NA,"Euthecosomata",NA,NA,"Tectipleura",NA,"Cavolinioidea",NA,NA,"worms"
"Crustacea",NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Arthropoda",NA,NA,NA,NA,NA,NA,"Crustacea",NA,NA,NA,NA,NA,NA,"worms"
"Cryptacanthodes giganteus","Actinopteri","Cryptacanthodidae","Cryptacanthodes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Cryptacanthodes giganteus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Ctenodiscus crispatus","Asteroidea","Ctenodiscidae","Ctenodiscus",NA,NA,NA,NA,NA,"Animalia",NA,"Paxillosida",NA,NA,"Echinodermata",NA,"Ctenodiscus crispatus",NA,NA,NA,NA,"Asterozoa",NA,NA,NA,NA,"Valvatacea",NA,"worms"
"Cucumaria frondosa","Holothuroidea","Cucumariidae","Cucumaria",NA,NA,NA,NA,NA,"Animalia",NA,"Dendrochirotida",NA,NA,"Echinodermata",NA,"Cucumaria frondosa","Actinopoda",NA,NA,NA,"Echinozoa",NA,NA,NA,NA,NA,NA,"worms"
"Cyanea","Scyphozoa","Cyaneidae","Cyanea",NA,NA,NA,NA,NA,"Animalia",NA,"Semaeostomeae",NA,NA,"Cnidaria",NA,NA,"Discomedusae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Cyclopina gracilis","Hexanauplia","Cyclopinidae","Cyclopina",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Cyclopoida",NA,NA,"Arthropoda",NA,"Cyclopina gracilis","Copepoda",NA,NA,"Oithonida","Crustacea",NA,NA,"Multicrustacea",NA,"Podoplea",NA,"worms"
"Cyclothone microdon","Actinopteri","Gonostomatidae","Cyclothone","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Stomiiformes",NA,"Osteichthyes","Chordata",NA,"Cyclothone microdon","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Cyrtodaria siliqua","Bivalvia","Hiatellidae","Cyrtodaria",NA,"Heteroconchia",NA,NA,NA,"Animalia",NA,"Adapedonta",NA,NA,"Mollusca",NA,"Cyrtodaria siliqua","Autobranchia",NA,NA,NA,NA,NA,"Euheterodonta",NA,"Hiatelloidea","Imparidentia",NA,"worms"
"Delphinidae","Mammalia","Delphinidae",NA,NA,NA,NA,"Cetacea","Gnathostomata","Animalia","Tetrapoda","Cetartiodactyla",NA,NA,"Chordata",NA,NA,"Theria",NA,NA,"Cetancodonta","Vertebrata",NA,NA,NA,"Odontoceti",NA,NA,"worms"
"Dinophyceae","Dinophyceae",NA,NA,NA,NA,"Alveolata",NA,"Dinoflagellata","Chromista",NA,NA,NA,NA,"Myzozoa",NA,NA,NA,NA,"Harosa",NA,"Dinozoa",NA,NA,NA,NA,NA,NA,"worms"
"Dipturus","Elasmobranchii","Rajidae","Dipturus",NA,"Batoidea",NA,NA,"Gnathostomata","Animalia",NA,"Rajiformes",NA,"Chondrichthyes","Chordata",NA,NA,"Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Dipturus batis","Elasmobranchii","Rajidae","Dipturus",NA,"Batoidea",NA,NA,"Gnathostomata","Animalia",NA,"Rajiformes",NA,"Chondrichthyes","Chordata",NA,"Dipturus batis","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Dorvilleidae","Polychaeta","Dorvilleidae",NA,NA,NA,NA,NA,NA,"Animalia",NA,"Eunicida",NA,NA,"Annelida",NA,NA,"Errantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Echinarachnius parma","Echinoidea","Echinarachniidae","Echinarachnius",NA,"Irregularia",NA,"Scutelliformes",NA,"Animalia",NA,"Clypeasteroida",NA,NA,"Echinodermata",NA,"Echinarachnius parma","Euechinoidea",NA,NA,"Scutellina","Echinozoa",NA,NA,NA,NA,"Neognathostomata",NA,"worms"
"Echinorhynchus gadi","Palaeacanthocephala","Echinorhynchidae","Echinorhynchus",NA,NA,NA,NA,NA,"Animalia",NA,"Echinorhynchida",NA,NA,"Acanthocephala",NA,"Echinorhynchus gadi",NA,"Echinorhynchinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Enchelyopus cimbrius","Actinopteri","Lotidae","Enchelyopus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Enchelyopus cimbrius","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms"
"Enipo torelli","Polychaeta","Polynoidae","Enipo",NA,NA,NA,NA,NA,"Animalia",NA,"Phyllodocida",NA,NA,"Annelida",NA,"Enipo torelli","Errantia","Polynoinae",NA,"Aphroditiformia",NA,NA,NA,NA,NA,NA,NA,"worms"
"Ennucula tenuis","Bivalvia","Nuculidae","Ennucula",NA,NA,NA,NA,NA,"Animalia",NA,"Nuculida",NA,NA,"Mollusca",NA,"Ennucula tenuis","Protobranchia",NA,NA,NA,NA,NA,NA,NA,"Nuculoidea",NA,NA,"worms"
"Epizoanthus arenaceus","Anthozoa","Epizoanthidae","Epizoanthus",NA,NA,NA,NA,NA,"Animalia",NA,"Zoantharia",NA,NA,"Cnidaria",NA,"Epizoanthus arenaceus","Hexacorallia",NA,NA,"Macrocnemina",NA,NA,NA,NA,NA,NA,NA,"worms"
"Ericthonius fasciatus","Malacostraca","Ischyroceridae","Ericthonius",NA,NA,NA,"Corophiida",NA,"Animalia",NA,"Amphipoda","Caprellidira",NA,"Arthropoda",NA,"Ericthonius fasciatus","Eumalacostraca","Ischyrocerinae",NA,"Senticaudata","Crustacea",NA,NA,"Multicrustacea","Photoidea","Peracarida","Ericthonini","worms"
"Eubranchus pallidus","Gastropoda","Eubranchidae","Eubranchus",NA,"Euthyneura",NA,NA,NA,"Animalia",NA,"Nudibranchia",NA,NA,"Mollusca",NA,"Eubranchus pallidus","Heterobranchia",NA,NA,"Cladobranchia",NA,NA,"Ringipleura",NA,"Fionoidea","Nudipleura",NA,"worms"
"Euclymeninae","Polychaeta","Maldanidae",NA,NA,"Scolecida",NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,NA,"Sedentaria","Euclymeninae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Eudendrium capillare","Hydrozoa","Eudendriidae","Eudendrium",NA,NA,NA,NA,NA,"Animalia",NA,"Anthoathecata",NA,NA,"Cnidaria",NA,"Eudendrium capillare","Hydroidolina",NA,NA,"Filifera",NA,NA,NA,NA,NA,NA,NA,"worms"
"Euphausia krohni","Malacostraca","Euphausiidae","Euphausia",NA,NA,NA,NA,NA,"Animalia",NA,"Euphausiacea",NA,NA,"Arthropoda",NA,"Euphausia krohnii","Eumalacostraca",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Eucarida",NA,"worms"
"Eurypon clavigerum","Demospongiae","Raspailiidae","Eurypon",NA,NA,NA,NA,NA,"Animalia",NA,"Axinellida",NA,NA,"Porifera",NA,"Eurypon clavigerum","Heteroscleromorpha","Raspailiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms"
"Flabelligeridae","Polychaeta","Flabelligeridae",NA,NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,NA,"Sedentaria",NA,NA,"Cirratuliformia",NA,NA,NA,NA,NA,NA,NA,"worms"
